wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4525.16600605
1000.0        4525.16600605
1500.0        4525.16600605
2000.0        4525.16600605
2500.0        4525.16600605
3000.0        4525.16600605
3500.0        4525.16600605
4000.0        4525.16600605
4500.0        4525.16600605
5000.0        4525.16600605
5500.0        4525.16600605
6000.0        4686.09270355
6500.0        4948.92781633
7000.0        5113.17370766
7500.0        5113.17370766
8000.0        5113.17370766
8500.0        6635.03416203
9000.0        7899.18840875
9500.0        8387.05875931
10000.0        8871.38600867
10500.0        9812.89573664
11000.0        10294.3581624
11500.0        10294.3581624
12000.0        10294.3581624
12500.0        10294.3581624
13000.0        10294.3581624
13500.0        10294.3581624
14000.0        10294.3581624
14500.0        10294.3581624
15000.0        10294.3581624
15500.0        10294.3581624
16000.0        10294.3581624
16500.0        10294.3581624
17000.0        10294.3581624
17500.0        10294.3581624
18000.0        10294.3581624
18500.0        10294.3581624
19000.0        10294.3581624
19500.0        10294.3581624
20000.0        10294.3581624
