wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1792.80346581
1000.0        1792.80346581
1500.0        1792.80346581
2000.0        1792.80346581
2500.0        1792.80346581
3000.0        2496.7678609
3500.0        3063.90768295
4000.0        3151.61113059
4500.0        4073.83048322
5000.0        5004.27230124
5500.0        5561.69152484
6000.0        6237.62298038
6500.0        6536.87810162
7000.0        6536.87810162
7500.0        6536.87810162
8000.0        6536.87810162
8500.0        6536.87810162
9000.0        6536.87810162
9500.0        6536.87810162
10000.0        6536.87810162
10500.0        6536.87810162
11000.0        6536.87810162
11500.0        6536.87810162
12000.0        6536.87810162
12500.0        6536.87810162
13000.0        6536.87810162
13500.0        6536.87810162
14000.0        6536.87810162
14500.0        6536.87810162
15000.0        6536.87810162
15500.0        6536.87810162
16000.0        6536.87810162
16500.0        6536.87810162
17000.0        6536.87810162
17500.0        6536.87810162
18000.0        6536.87810162
18500.0        6536.87810162
19000.0        6536.87810162
19500.0        6536.87810162
20000.0        6536.87810162
